comparison,crowding,sample_id,stroke_x0,stroke_y0,stroke_x1,stroke_y1,stroke_width,stroke_value,stroke_length_normalized,changed_pixel_count,changed_pixel_fraction,pixel_mean_absolute_difference,global_cosine_distance,patch_mean_cosine_distance,patch_max_cosine_distance,patch_top10pct_mean_cosine_distance,changed_patch_fraction,patch_changed_region_mean_cosine_distance,patch_unchanged_region_mean_cosine_distance,localization_enrichment,localization_topk_recall,localization_topk_lift,patch_reference_region_mean_cosine_distance,patch_reference_outside_mean_cosine_distance,reference_region_enrichment
pixel_matched_noise,5,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,1703,0.415771484375,0.0030426622834056616,0.017501354217529297,0.06652384251356125,0.46384572982788086,0.2662338614463806,1.0,0.06652384251356125,,,1.0,1.0,0.012185091152787209,0.06873273104429245,0.17728222009590955
sparse_pixel_matched_noise,5,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,38,0.00927734375,0.0030857459641993046,0.12149602174758911,0.1791263073682785,0.6225183606147766,0.5438680648803711,0.140625,0.2685304880142212,0.1644965410232544,1.632438508091546,0.3611111044883728,2.567901187472873,0.04455358907580376,0.18459674715995789,0.24135630644237144
add_stroke,5,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,38,0.00927734375,0.0030857459641993046,0.03275120258331299,0.02593032456934452,0.1408565640449524,0.04639870673418045,0.0390625,0.04061703756451607,0.025333307683467865,1.6033057377273372,0.5,12.8,0.04061703756451607,0.025333307683467865,1.6033057377273372
shift_position,5,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,76,0.0185546875,0.012363090179860592,0.029106497764587402,0.035503070801496506,0.5983375310897827,0.13590319454669952,0.05859375,0.0733475536108017,0.03314760699868202,2.2127556180365615,0.4000000059604645,6.826666768391927,0.05216249078512192,0.03482586145401001,1.4978090593395985
change_width,5,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,90,0.02197265625,0.011724494397640228,0.14587152004241943,0.09341593086719513,0.5316957831382751,0.29010865092277527,0.0625,0.29235830903053284,0.08015310019254684,3.6474984539365103,0.625,10.0,0.3320019245147705,0.08371730893850327,3.9657500787400033
change_intensity,5,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,48,0.01171875,0.007352941203862429,0.04256969690322876,0.04104290530085564,0.3437570333480835,0.13867419958114624,0.0390625,0.19385871291160583,0.03483087569475174,5.565714586406915,0.699999988079071,17.91999969482422,0.19385871291160583,0.03483087569475174,5.565714586406915
no_change,15,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,0,0.0,0.0,0.0,1.792795956134796e-08,2.980232238769531e-07,1.444266359840185e-07,0.0,,1.792795956134796e-08,,,,2.9802322387695312e-08,1.7445261235593534e-08,1.7083333969737116
tiny_pixel_noise,15,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,1737,0.424072265625,0.002351409289985895,0.013672232627868652,0.024771202355623245,0.20622068643569946,0.08669614791870117,1.0,0.024771202355623245,,,1.0,1.0,0.012540817260742188,0.025268372148275375,0.49630491379311614
pixel_matched_noise,15,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,2085,0.509033203125,0.004073797259479761,0.00783383846282959,0.02033654972910881,0.19999730587005615,0.07636577636003494,1.0,0.02033654972910881,,,1.0,1.0,0.00788908638060093,0.020842544734477997,0.3785087896465303
sparse_pixel_matched_noise,15,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,46,0.01123046875,0.004099647514522076,0.01799321174621582,0.05154421925544739,0.4008345603942871,0.2105134278535843,0.171875,0.06329333782196045,0.04910571500658989,1.2889199925806316,0.1818181872367859,1.0578512711958452,0.019712412729859352,0.052838198840618134,0.37307124698402655
add_stroke,15,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,46,0.01123046875,0.004099647514522076,0.018492937088012695,0.025457441806793213,0.23845219612121582,0.10675781220197678,0.0390625,0.153263658285141,0.020262064412236214,7.564069246201065,0.699999988079071,17.91999969482422,0.153263658285141,0.020262064412236214,7.564069246201065
shift_position,15,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,93,0.022705078125,0.012285538949072361,0.013363003730773926,0.026079248636960983,0.3658185601234436,0.1365794837474823,0.05859375,0.1716916859149933,0.017016232013702393,10.089876876193145,0.800000011920929,13.653333536783855,0.1496393233537674,0.021056480705738068,7.106568540344418
change_width,15,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,111,0.027099609375,0.013239123858511448,0.03932303190231323,0.04001760855317116,0.3750593662261963,0.17357803881168365,0.0625,0.17733806371688843,0.03086290881037712,5.745993185751226,0.625,10.0,0.19929619133472443,0.03354286402463913,5.941537704959544
change_intensity,15,0,0.6370846776486907,0.382361699386086,0.47889692702534387,0.7458769452659896,2,0,0.39644255376334275,48,0.01171875,0.007352941203862429,0.05235767364501953,0.04810630530118942,0.30677932500839233,0.14297570288181305,0.0390625,0.19038814306259155,0.042322490364313126,4.498509927552121,0.800000011920929,20.480000305175782,0.19038814306259155,0.042322490364313126,4.498509927552121
no_change,0,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,0,0.0,0.0,0.0,1.83936208486557e-08,2.980232238769531e-07,1.4901161193847656e-07,0.0,,1.83936208486557e-08,,,,1.9868215517249155e-08,1.833989138333436e-08,1.0833333252618713
tiny_pixel_noise,0,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,1381,0.337158203125,0.0018592984415590763,0.10038870573043823,0.22486239671707153,0.4562566876411438,0.3875390291213989,1.0,0.22486239671707153,,,1.0,1.0,0.3317193388938904,0.2209688276052475,1.5012042308813554
pixel_matched_noise,0,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,1924,0.4697265625,0.011211320757865906,0.2254011631011963,0.3538411557674408,0.5777071714401245,0.5462030172348022,1.0,0.3538411557674408,,,1.0,1.0,0.39845535159111023,0.3522154986858368,1.1312828455244035
sparse_pixel_matched_noise,0,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,46,0.01123046875,0.01123046875,0.5765466094017029,0.42670679092407227,0.7359619140625,0.7036088109016418,0.16796875,0.5287408828735352,0.40610837936401367,1.3019698921297074,0.39534884691238403,2.3537047630132633,0.33456599712371826,0.4300641417503357,0.7779444149006574
add_stroke,0,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,46,0.01123046875,0.01123046875,0.37489140033721924,0.41098523139953613,0.8053219318389893,0.7313676476478577,0.03515625,0.7746796011924744,0.3977331519126892,1.947737063071204,0.7777777910232544,22.123457166883682,0.7746796011924744,0.3977331519126892,1.947737063071204
shift_position,0,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,94,0.02294921875,0.02294921875,0.012621402740478516,0.042779818177223206,0.34164565801620483,0.1680849939584732,0.05859375,0.12802831828594208,0.0374738909304142,3.4164671750707627,0.3333333432674408,5.6888890584309895,0.12156859785318375,0.03990896791219711,3.046147375212616
change_width,0,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,110,0.02685546875,0.02685546875,0.18268704414367676,0.15312406420707703,0.39128172397613525,0.31423670053482056,0.05859375,0.34062105417251587,0.14145411550998688,2.407996776512787,0.800000011920929,13.653333536783855,0.3664173483848572,0.14535224437713623,2.520892263858942
change_intensity,0,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,46,0.01123046875,0.007046568673104048,0.03862971067428589,0.031551480293273926,0.0688357949256897,0.05122893676161766,0.03515625,0.05964632332324982,0.030527781695127487,1.9538374559580238,0.6666666865348816,18.962963528103298,0.05964632332324982,0.030527781695127487,1.9538374559580238
no_change,5,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,0,0.0,0.0,0.0,1.885928213596344e-08,2.384185791015625e-07,1.3754917915775877e-07,0.0,,1.885928213596344e-08,,,,6.622738357719982e-09,1.9305147702652903e-08,0.3430555652682154
tiny_pixel_noise,5,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,1591,0.388427734375,0.002141735516488552,0.015042304992675781,0.06501752883195877,0.5029774904251099,0.27049165964126587,1.0,0.06501752883195877,,,1.0,1.0,0.009601401165127754,0.06703674793243408,0.1432259389253928
pixel_matched_noise,5,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,2028,0.4951171875,0.006282552145421505,0.03394162654876709,0.08937358111143112,0.4889451265335083,0.3351482152938843,1.0,0.08937358111143112,,,1.0,1.0,0.01999596692621708,0.0919015109539032,0.21758039360470188
